Year,Total_attendance
1982,1438768
1983,2256121
1984,1664720
1985,1688365
1986,2141112
1987,2019675
1988,1932145
1989,2883669
1990,3189488
1991,3825409
1992,3912092
1993,4437149
1994,4194428
1995,5406374
1996,4498082
1997,3902966
1998,2639119
1999,3220624
2000,2507549
2001,2991064
2002,2394570
2003,2722801
2004,2331978
2005,3387843
2006,3040254
2007,4104429
2008,5256332
2009,5925285
2010,5928626
2011,6810028
2012,7156157
2013,6441945
2014,6509915
2015,7360530
2016,8339577
2017,8400688
2018,8073742
2019,7286008
2020,328317
2021,1228489
2022,6076074
2023,8100326
2024,10887705
